iter	Passed	Remaining
412	3591	13799
413	3597	13783
414	3605	13771
415	3612	13756
416	3619	13740
417	3628	13733
418	3637	13724
419	3645	13713
420	3653	13701
421	3662	13694
422	3669	13679
423	3676	13664
424	3683	13649
425	3689	13633
426	3696	13618
427	3704	13607
428	3711	13590
429	3718	13578
430	3725	13563
431	3732	13549
432	3740	13536
433	3747	13521
434	3754	13507
435	3762	13497
436	3769	13481
437	3778	13476
438	3785	13462
439	3794	13452
440	3802	13441
441	3809	13426
442	3817	13417
443	3824	13402
444	3831	13390
445	3840	13381
446	3847	13367
447	3855	13355
448	3861	13340
449	3868	13325
450	3877	13316
451	3883	13301
452	3890	13287
453	3898	13275
454	3904	13259
455	3912	13246
456	3918	13231
457	3925	13216
458	3932	13202
459	3939	13188
460	3946	13173
461	3953	13159
462	3961	13150
463	3967	13135
464	3976	13127
465	3985	13120
466	3995	13114
467	4002	13103
468	4009	13089
469	4017	13079
470	4025	13069
471	4035	13064
472	4044	13058
473	4053	13049
474	4060	13036
475	4067	13022
476	4075	13013
477	4082	12998
478	4088	12983
479	4096	12973
480	4103	12958
481	4110	12945
482	4119	12939
483	4126	12925
484	4135	12916
485	4141	12902
486	4149	12893
487	4159	12888
488	4170	12887
489	4177	12873
490	4184	12859
491	4190	12844
492	4198	12833
493	4204	12819
494	4212	12807
495	4219	12793
496	4226	12782
497	4234	12771
498	4241	12759
499	4248	12745
500	4256	12735
501	4263	12723
502	4270	12710
503	4278	12699
504	4285	12688
505	4293	12677
506	4300	12663
507	4307	12651
508	4315	12642
509	4322	12629
510	4331	12620
511	4338	12607
512	4345	12596
513	4354	12588
514	4361	12575
515	4370	12568
516	4377	12556
517	4384	12543
518	4391	12532
519	4398	12519
520	4405	12505
521	4413	12496
522	4419	12481
523	4426	12468
524	4435	12460
525	4442	12449
526	4451	12441
527	4458	12428
528	4464	12415
529	4474	12411
530	4481	12397
531	4488	12385
532	4495	12372
533	4501	12359
534	4510	12350
535	4516	12336
536	4523	12324
537	4531	12313
538	4538	12301
539	4544	12287
540	4551	12275
541	4558	12262
542	4566	12253
543	4574	12242
544	4581	12230
545	4589	12220
546	4595	12207
547	4602	12194
548	4610	12186
549	4617	12174
550	4624	12161
551	4632	12151
552	4639	12140
553	4648	12132
554	4655	12120
555	4662	12108
556	4669	12097
557	4676	12086
558	4687	12082
559	4694	12072
560	4703	12065
561	4710	12052
562	4717	12040
563	4724	12028
564	4731	12016
565	4738	12004
566	4745	11993
567	4751	11979
568	4759	11968
569	4766	11957
570	4773	11945
571	4781	11936
572	4789	11927
573	4796	11915
574	4805	11908
575	4811	11895
576	4818	11883
577	4825	11872
578	4832	11859
579	4838	11847
580	4847	11839
581	4854	11827
582	4861	11815
583	4868	11804
584	4875	11793
585	4883	11783
586	4891	11774
587	4897	11761
588	4904	11749
589	4911	11737
590	4917	11724
591	4924	11712
592	4932	11702
593	4939	11691
594	4948	11684
595	4954	11671
596	4962	11662
597	4972	11657
598	4980	11648
599	4990	11643
600	4996	11630
601	5005	11623
602	5012	11611
603	5022	11608
604	5030	11598
605	5038	11590
606	5049	11588
607	5056	11575
608	5063	11565
609	5070	11553
610	5077	11542
611	5085	11534
612	5092	11523
613	5100	11514
614	5107	11502
615	5114	11491
616	5122	11482
617	5129	11470
618	5136	11458
619	5142	11446
620	5149	11434
621	5155	11422
622	5164	11415
623	5172	11405
624	5178	11393
625	5186	11384
626	5194	11375
627	5201	11364
628	5212	11361
629	5219	11350
630	5227	11341
631	5234	11330
632	5241	11320
633	5248	11309
634	5255	11297
635	5264	11290
636	5270	11278
637	5288	11290
638	5295	11277
639	5302	11267
640	5309	11256
641	5316	11245
642	5323	11234
643	5330	11223
644	5338	11215
645	5345	11205
646	5353	11194
647	5361	11187
648	5369	11177
649	5376	11166
650	5385	11159
651	5392	11148
652	5400	11140
653	5407	11129
654	5416	11121
655	5423	11110
656	5429	11098
657	5436	11088
658	5443	11076
659	5450	11066
660	5459	11060
661	5466	11049
662	5474	11039
663	5481	11028
664	5488	11017
665	5497	11010
666	5503	10999
667	5511	10989
668	5518	10978
669	5524	10967
670	5531	10956
671	5540	10948
672	5546	10937
673	5554	10927
674	5561	10917
675	5568	10905
676	5575	10894
677	5582	10884
678	5589	10873
679	5596	10864
680	5603	10853
681	5610	10843
682	5619	10836
683	5626	10825
684	5634	10815
685	5641	10805
686	5647	10793
687	5657	10788
688	5664	10778
689	5671	10766
690	5679	10759
691	5686	10748
692	5695	10741
693	5701	10729
694	5708	10719
695	5716	10710
696	5724	10701
697	5734	10696
698	5740	10684
699	5748	10675
700	5756	10667
701	5763	10657
702	5771	10648
703	5779	10639
704	5786	10629
705	5794	10620
706	5801	10610
707	5808	10600
708	5817	10593
709	5825	10584
710	5833	10576
711	5841	10567
712	5849	10557
713	5857	10550
714	5864	10540
715	5871	10529
716	5879	10520
717	5886	10510
718	5894	10502
719	5902	10493
720	5910	10484
721	5918	10476
722	5924	10464
723	5931	10453
724	5937	10442
725	5944	10431
726	5953	10424
727	5960	10413
728	5967	10404
729	5976	10397
730	5983	10387
731	5994	10384
732	6002	10375
733	6008	10363
734	6017	10356
735	6023	10345
736	6032	10338
737	6044	10335
738	6053	10329
739	6061	10321
740	6071	10315
741	6077	10304
742	6084	10293
743	6093	10287
744	6101	10277
745	6107	10267
746	6115	10258
747	6122	10247
748	6129	10238
749	6136	10227
750	6142	10216
751	6149	10205
752	6156	10195
753	6162	10184
754	6169	10173
755	6176	10162
756	6183	10152
757	6191	10144
758	6198	10134
759	6205	10125
760	6213	10116
761	6220	10106
762	6227	10096
763	6234	10086
764	6241	10076
765	6250	10069
766	6259	10062
767	6269	10057
768	6275	10046
769	6282	10035
770	6290	10027
771	6297	10017
772	6304	10006
773	6313	10000
774	6320	9991
775	6328	9981
776	6335	9971
777	6342	9961
778	6349	9952
779	6356	9941
780	6365	9934
781	6371	9924
782	6380	9917
783	6387	9907
784	6394	9897
785	6403	9890
786	6409	9878
787	6415	9868
788	6423	9858
789	6429	9848
790	6438	9840
791	6445	9830
792	6451	9820
793	6460	9812
794	6467	9802
795	6473	9791
796	6481	9783
797	6489	9774
798	6495	9763
799	6504	9756
800	6511	9746
801	6519	9738
802	6526	9729
803	6535	9722
804	6542	9712
805	6549	9702
806	6557	9693
807	6564	9684
808	6571	9674
809	6579	9666
810	6587	9657
811	6594	9647
812	6602	9640
813	6609	9630
814	6617	9621
815	6624	9611
816	6631	9601
817	6639	9594
818	6646	9584
819	6653	9575
820	6662	9567
821	6668	9557
822	6677	9549
823	6684	9540
824	6691	9530
825	6699	9522
826	6706	9511
827	6713	9502
828	6721	9494
829	6728	9484
830	6736	9476
831	6743	9466
832	6751	9458
833	6761	9452
834	6770	9445
835	6779	9439
836	6786	9429
837	6794	9421
838	6801	9411
839	6807	9401
840	6814	9391
841	6822	9383
842	6829	9373
843	6838	9365
844	6844	9355
845	6851	9346
846	6858	9336
847	6866	9327
848	6874	9319
849	6881	9310
850	6889	9301
851	6897	9294
852	6905	9284
853	6912	9275
854	6919	9266
855	6925	9255
856	6931	9244
857	6938	9235
858	6945	9225
859	6952	9215
860	6958	9205
861	6964	9195
862	6974	9188
863	6984	9183
864	6994	9177
865	7000	9167
866	7008	9158
867	7015	9149
868	7023	9141
869	7034	9136
870	7042	9128
871	7049	9119
872	7058	9111
873	7066	9103
874	7073	9095
875	7080	9084
876	7086	9074
877	7094	9065
878	7101	9056
879	7108	9047
880	7114	9037
881	7121	9027
882	7128	9017
883	7135	9008
884	7143	8999
885	7149	8989
886	7156	8980
887	7164	8971
888	7173	8964
889	7181	8956
890	7189	8948
891	7195	8937
892	7202	8928
893	7209	8918
894	7215	8908
895	7221	8898
896	7231	8891
897	7239	8883
898	7248	8877
899	7255	8867
900	7262	8858
901	7270	8850
902	7277	8840
903	7286	8833
904	7294	8825
905	7301	8817
906	7310	8809
907	7317	8800
908	7324	8791
909	7331	8781
910	7338	8772
911	7346	8763
912	7353	8754
913	7360	8746
914	7368	8738
915	7375	8728
916	7383	8720
917	7391	8712
918	7398	8702
919	7408	8696
920	7414	8686
921	7421	8676
922	7431	8671
923	7438	8662
924	7448	8656
925	7456	8647
926	7464	8640
927	7471	8630
928	7478	8621
929	7486	8613
930	7492	8603
931	7499	8594
932	7507	8586
933	7514	8577
934	7524	8570
935	7531	8561
936	7538	8552
937	7545	8543
938	7552	8533
939	7559	8524
940	7566	8515
941	7573	8506
942	7580	8496
943	7589	8489
944	7595	8480
945	7605	8474
946	7613	8465
947	7620	8456
948	7627	8447
949	7634	8438
950	7641	8428
951	7650	8421
952	7657	8412
953	7664	8404
954	7671	8394
955	7678	8385
956	7686	8377
957	7693	8368
958	7700	8358
959	7706	8349
960	7714	8340
961	7721	8331
962	7728	8322
963	7737	8315
964	7744	8305
965	7752	8298
966	7758	8288
967	7765	8279
968	7774	8271
969	7780	8262
970	7789	8254
971	7800	8249
972	7808	8241
973	7816	8233
974	7823	8224
975	7830	8215
976	7838	8207
977	7845	8198
978	7853	8190
979	7860	8180
980	7866	8171
981	7873	8162
982	7881	8153
983	7888	8144
984	7895	8136
985	7901	8126
986	7909	8117
987	7917	8109
988	7924	8100
989	7931	8091
990	7937	8081
991	7945	8073
992	7953	8065
993	7965	8061
994	7973	8053
995	7982	8046
996	7990	8038
997	7998	8030
998	8006	8022
999	8013	8013
1000	8022	8006
1001	8030	7998
1002	8037	7989
1003	8044	7980
1004	8052	7972
1005	8059	7963
1006	8065	7953
1007	8074	7946
1008	8081	7937
1009	8089	7929
1010	8096	7920
1011	8103	7911
1012	8111	7903
1013	8118	7894
1014	8124	7884
1015	8133	7876
1016	8139	7866
1017	8145	7857
1018	8153	7849
1019	8159	7839
1020	8167	7831
1021	8174	7822
1022	8181	7813
1023	8188	7804
1024	8195	7795
1025	8202	7786
1026	8209	7777
1027	8216	7768
1028	8223	7759
1029	8232	7752
1030	8240	7744
1031	8250	7738
1032	8257	7730
1033	8265	7721
1034	8274	7715
1035	8282	7706
1036	8290	7698
1037	8297	7690
1038	8304	7681
1039	8314	7674
1040	8323	7668
1041	8335	7663
1042	8344	7656
1043	8351	7647
1044	8358	7638
1045	8367	7631
1046	8374	7622
1047	8380	7613
1048	8388	7605
1049	8396	7596
1050	8403	7587
1051	8410	7578
1052	8417	7570
1053	8426	7563
1054	8434	7554
1055	8441	7545
1056	8449	7538
1057	8456	7529
1058	8464	7521
1059	8472	7513
1060	8479	7504
1061	8488	7497
1062	8494	7487
1063	8501	7478
