iter	Passed	Remaining
1673	13155	2561
1674	13162	2553
1675	13169	2545
1676	13177	2538
1677	13184	2529
1678	13191	2522
1679	13198	2513
1680	13205	2505
1681	13212	2498
1682	13219	2489
1683	13225	2481
1684	13235	2474
1685	13241	2466
1686	13247	2457
1687	13256	2450
1688	13263	2442
1689	13271	2434
1690	13279	2426
1691	13285	2418
1692	13294	2410
1693	13301	2402
1694	13309	2394
1695	13315	2386
1696	13322	2378
1697	13331	2371
1698	13338	2363
1699	13345	2355
1700	13352	2347
1701	13359	2339
1702	13366	2331
1703	13374	2323
1704	13382	2315
1705	13389	2307
1706	13396	2299
1707	13403	2291
1708	13411	2283
1709	13418	2275
1710	13424	2267
1711	13431	2259
1712	13438	2251
1713	13445	2243
1714	13455	2236
1715	13462	2228
1716	13470	2220
1717	13477	2212
1718	13483	2204
1719	13492	2196
1720	13498	2188
1721	13507	2180
1722	13513	2172
1723	13520	2164
1724	13527	2156
1725	13534	2148
1726	13541	2140
1727	13549	2132
1728	13557	2124
1729	13565	2117
1730	13572	2109
1731	13579	2101
1732	13588	2093
1733	13596	2085
1734	13606	2078
1735	13613	2070
1736	13620	2062
1737	13629	2054
1738	13635	2046
1739	13642	2038
1740	13651	2030
1741	13675	2025
1742	13684	2017
1743	13691	2009
1744	13698	2001
1745	13706	1993
1746	13713	1985
1747	13719	1977
1748	13726	1969
1749	13733	1961
1750	13740	1953
1751	13748	1946
1752	13755	1938
1753	13763	1930
1754	13770	1922
1755	13777	1914
1756	13784	1906
1757	13791	1898
1758	13798	1890
1759	13805	1882
1760	13812	1874
1761	13818	1866
1762	13825	1858
1763	13832	1850
1764	13839	1842
1765	13849	1835
1766	13857	1827
1767	13864	1819
1768	13871	1811
1769	13878	1803
1770	13887	1795
1771	13897	1788
1772	13905	1780
1773	13913	1772
1774	13924	1765
1775	13934	1757
1776	13943	1749
1777	13951	1741
1778	13959	1734
1779	13967	1726
1780	13975	1718
1781	13984	1710
1782	13992	1702
1783	14000	1695
1784	14008	1687
1785	14015	1679
1786	14025	1671
1787	14032	1663
1788	14041	1656
1789	14049	1648
1790	14057	1640
1791	14065	1632
1792	14072	1624
1793	14080	1616
1794	14088	1608
1795	14096	1601
1796	14104	1593
1797	14111	1585
1798	14118	1577
1799	14125	1569
1800	14132	1561
1801	14141	1553
1802	14148	1545
1803	14158	1538
1804	14165	1530
1805	14172	1522
1806	14181	1514
1807	14188	1506
1808	14195	1498
1809	14203	1491
1810	14210	1483
1811	14218	1475
1812	14225	1467
1813	14232	1459
1814	14239	1451
1815	14246	1443
1816	14253	1435
1817	14262	1427
1818	14269	1419
1819	14276	1411
1820	14283	1404
1821	14291	1396
1822	14298	1388
1823	14304	1380
1824	14311	1372
1825	14318	1364
1826	14325	1356
1827	14333	1348
1828	14341	1340
1829	14348	1332
1830	14356	1325
1831	14363	1317
1832	14370	1309
1833	14378	1301
1834	14385	1293
1835	14393	1285
1836	14401	1277
1837	14408	1269
1838	14417	1262
1839	14423	1254
1840	14430	1246
1841	14438	1238
1842	14445	1230
1843	14452	1222
1844	14459	1214
1845	14466	1206
1846	14473	1198
1847	14481	1191
1848	14488	1183
1849	14495	1175
1850	14502	1167
1851	14509	1159
1852	14517	1151
1853	14525	1143
1854	14531	1135
1855	14540	1128
1856	14547	1120
1857	14556	1112
1858	14562	1104
1859	14570	1096
1860	14578	1088
1861	14585	1080
1862	14595	1073
1863	14603	1065
1864	14611	1057
1865	14620	1049
1866	14627	1042
1867	14636	1034
1868	14643	1026
1869	14651	1018
1870	14659	1010
1871	14665	1002
1872	14672	994
1873	14681	987
1874	14688	979
1875	14694	971
1876	14701	963
1877	14708	955
1878	14716	947
1879	14723	939
1880	14731	931
1881	14738	924
1882	14745	916
1883	14753	908
1884	14760	900
1885	14767	892
1886	14776	884
1887	14783	876
1888	14789	869
1889	14797	861
1890	14803	853
1891	14810	845
1892	14819	837
1893	14826	829
1894	14833	821
1895	14840	814
1896	14847	806
1897	14856	798
1898	14863	790
1899	14876	782
1900	14884	775
1901	14893	767
1902	14899	759
1903	14909	751
1904	14917	743
1905	14926	736
1906	14938	728
1907	14946	720
1908	14955	712
1909	14962	705
1910	14968	697
1911	14977	689
1912	14983	681
1913	14992	673
1914	14999	665
1915	15006	657
1916	15015	650
1917	15023	642
1918	15030	634
1919	15037	626
1920	15043	618
1921	15051	610
1922	15057	602
1923	15064	595
1924	15073	587
1925	15080	579
1926	15088	571
1927	15094	563
1928	15101	555
1929	15108	547
1930	15114	540
1931	15123	532
1932	15131	524
1933	15141	516
1934	15149	508
1935	15156	501
1936	15163	493
1937	15171	485
1938	15178	477
1939	15185	469
1940	15193	461
1941	15200	453
1942	15207	446
1943	15214	438
1944	15220	430
1945	15229	422
1946	15236	414
1947	15242	406
1948	15250	399
1949	15256	391
1950	15264	383
1951	15270	375
1952	15278	367
1953	15286	359
1954	15293	352
1955	15299	344
1956	15306	336
1957	15313	328
1958	15319	320
1959	15326	312
1960	15334	304
1961	15341	297
1962	15349	289
1963	15356	281
1964	15362	273
1965	15371	265
1966	15378	258
1967	15386	250
1968	15392	242
1969	15399	234
1970	15407	226
1971	15414	218
1972	15421	211
1973	15429	203
1974	15436	195
1975	15445	187
1976	15451	179
1977	15459	171
1978	15466	164
1979	15473	156
1980	15482	148
1981	15488	140
1982	15496	132
1983	15505	125
1984	15511	117
1985	15518	109
1986	15527	101
1987	15533	93
1988	15541	85
1989	15548	78
1990	15555	70
1991	15563	62
1992	15570	54
1993	15577	46
1994	15584	39
1995	15591	31
1996	15598	23
1997	15605	15
1998	15612	7
1999	15619	0
